 ,smoc2_fibrosis1,smoc2_fibrosis4,smoc2_normal1,smoc2_normal3,smoc2_fibrosis3,smoc2_normal4,smoc2_fibrosis2
ENSMUSG00000033569,7,7,28,17,6,47,8
ENSMUSG00000080849,0,0,0,0,0,0,0
ENSMUSG00000104257,0,0,0,0,0,0,0
ENSMUSG00000096866,0,0,0,0,0,0,0
ENSMUSG00000102296,0,0,0,0,0,1,0
ENSMUSG00000103209,0,0,0,0,0,0,0
ENSMUSG00000104027,0,0,0,1,0,0,0
ENSMUSG00000102407,0,0,0,0,0,0,0
ENSMUSG00000103214,0,0,0,0,0,0,0
ENSMUSG00000104100,0,0,0,0,0,1,0
ENSMUSG00000084740,0,0,0,0,0,0,0
ENSMUSG00000103889,0,0,1,0,0,0,0
ENSMUSG00000101301,0,0,0,0,0,0,0
ENSMUSG00000104221,0,0,0,0,0,0,0
ENSMUSG00000102250,0,0,1,0,0,0,0
ENSMUSG00000102317,0,1,0,0,0,0,0
ENSMUSG00000103563,0,0,1,1,0,2,0
ENSMUSG00000102465,3,0,1,0,0,4,2
ENSMUSG00000102659,0,1,0,0,0,1,0
ENSMUSG00000103924,0,0,2,0,0,0,0
ENSMUSG00000104132,0,0,0,0,0,0,0
ENSMUSG00000102747,0,0,0,0,0,2,0
ENSMUSG00000102386,0,0,1,2,3,5,2
ENSMUSG00000103004,0,0,0,0,0,0,0
ENSMUSG00000104516,0,0,0,0,1,0,0
ENSMUSG00000101618,0,0,0,0,0,0,0
ENSMUSG00000099458,0,0,0,0,0,0,0
ENSMUSG00000088111,0,0,0,0,0,0,0
ENSMUSG00000073722,0,0,2,1,0,1,1
ENSMUSG00000095256,0,0,0,0,0,0,0
ENSMUSG00000100310,0,0,0,0,0,0,0
ENSMUSG00000101514,7,13,78,71,14,105,10
ENSMUSG00000101033,0,0,0,0,0,0,0
ENSMUSG00000101372,0,0,2,0,0,0,0
ENSMUSG00000103241,0,0,0,0,0,0,0
ENSMUSG00000086240,1,3,0,1,2,0,4
ENSMUSG00000048411,0,0,0,0,0,0,0
ENSMUSG00000081557,7,0,2,4,4,1,1
ENSMUSG00000058590,0,0,0,0,0,0,0
ENSMUSG00000101235,0,0,0,0,0,0,0
ENSMUSG00000064433,0,0,0,0,0,0,0
ENSMUSG00000080625,0,0,0,0,0,0,0
ENSMUSG00000080391,0,0,0,0,0,0,0
ENSMUSG00000099257,0,0,0,0,0,0,0
ENSMUSG00000099492,4,4,5,2,1,4,1
ENSMUSG00000101726,0,0,0,0,1,0,0
ENSMUSG00000096829,0,0,0,0,0,0,0
ENSMUSG00000098883,0,0,0,0,0,0,0
ENSMUSG00000053185,0,0,0,1,2,0,0
ENSMUSG00000100261,0,2,1,1,3,2,0
ENSMUSG00000101180,0,0,1,0,0,0,0
ENSMUSG00000048874,3849,2880,1665,1888,3058,2047,3179
ENSMUSG00000103783,1,0,0,1,2,1,1
ENSMUSG00000104315,4,3,3,1,1,2,7
ENSMUSG00000026064,1050,630,213,215,788,248,971
ENSMUSG00000086151,0,0,0,0,0,0,0
ENSMUSG00000086726,0,0,0,0,0,0,0
ENSMUSG00000087346,0,0,0,0,0,0,0
ENSMUSG00000100371,0,0,0,0,0,0,1
ENSMUSG00000100237,1,0,0,0,1,0,0
ENSMUSG00000098529,0,0,0,0,0,0,0
ENSMUSG00000086727,0,0,0,0,0,0,0
ENSMUSG00000100910,2,0,0,0,0,0,0
ENSMUSG00000099796,0,0,0,0,0,0,0
ENSMUSG00000050217,0,1,0,0,0,0,0
ENSMUSG00000026063,0,0,0,0,0,0,0
ENSMUSG00000077664,0,0,0,0,0,0,0
ENSMUSG00000100205,0,0,0,0,0,0,0
ENSMUSG00000100592,0,0,0,0,0,0,0
ENSMUSG00000094215,0,0,0,0,0,0,1
ENSMUSG00000101093,0,0,0,0,0,0,0
ENSMUSG00000070960,18,17,11,21,29,19,20
ENSMUSG00000088620,0,0,0,0,0,0,0
ENSMUSG00000082159,0,0,0,0,0,0,0
ENSMUSG00000026058,0,0,1,3,6,0,1
ENSMUSG00000064688,0,0,0,0,0,0,0
ENSMUSG00000103482,0,0,0,1,0,0,0
ENSMUSG00000104498,0,0,0,1,0,0,0
ENSMUSG00000104313,0,0,0,0,0,0,0
ENSMUSG00000102865,0,0,0,0,0,0,0
ENSMUSG00000102321,0,0,0,0,0,0,0
ENSMUSG00000091318,0,0,0,0,0,0,0
ENSMUSG00000089489,0,0,0,0,0,0,0
ENSMUSG00000104433,0,0,0,0,0,0,0
ENSMUSG00000089395,0,0,0,0,0,0,0
ENSMUSG00000102926,0,0,0,0,0,0,0
ENSMUSG00000100497,0,0,0,0,0,0,0
ENSMUSG00000102917,0,0,0,0,0,0,0
ENSMUSG00000100481,12,29,0,1,13,2,8
ENSMUSG00000100590,0,0,0,0,0,0,0
ENSMUSG00000088750,0,0,0,0,0,0,0
ENSMUSG00000104230,0,0,0,0,0,0,0
ENSMUSG00000101754,0,0,0,0,0,0,0
ENSMUSG00000065223,0,0,0,0,0,0,0
ENSMUSG00000100318,0,0,0,0,0,0,0
ENSMUSG00000101612,0,1,0,1,0,0,0
ENSMUSG00000065260,0,0,0,0,0,0,0
ENSMUSG00000026134,292,310,85,145,337,132,270
ENSMUSG00000101682,0,0,0,0,0,1,0
ENSMUSG00000102714,1,0,0,0,1,0,0
ENSMUSG00000102093,0,0,0,0,0,0,0
ENSMUSG00000103746,9,19,11,18,10,21,9
ENSMUSG00000102198,0,0,1,1,0,1,0
ENSMUSG00000004768,719,539,436,470,590,510,557
ENSMUSG00000042215,950,853,158,214,823,237,1005
ENSMUSG00000103072,5,2,0,1,10,0,1
ENSMUSG00000042197,1518,1004,463,578,1190,552,1094
ENSMUSG00000081402,1,5,2,3,6,3,5
ENSMUSG00000042182,29,31,1,4,33,3,36
ENSMUSG00000104416,1,0,0,0,0,0,0
ENSMUSG00000026131,8407,6376,9860,12168,7269,14481,8009
ENSMUSG00000103596,1,0,0,0,0,0,1
ENSMUSG00000099382,0,0,0,0,0,0,0
ENSMUSG00000084506,0,0,0,0,0,0,0
ENSMUSG00000103364,11,12,4,3,10,2,7
ENSMUSG00000105982,0,0,0,0,0,0,0
ENSMUSG00000096992,14,4,8,8,10,6,1
ENSMUSG00000104475,76,61,92,51,27,70,68
ENSMUSG00000103001,0,1,1,0,0,1,1
ENSMUSG00000104397,0,0,0,0,0,0,0
ENSMUSG00000102839,0,0,0,0,0,0,0
ENSMUSG00000101206,0,0,0,0,0,0,2
ENSMUSG00000101462,41,24,2,4,26,5,9
ENSMUSG00000102336,84,33,15,11,83,6,46
ENSMUSG00000092852,0,0,0,0,0,0,0
ENSMUSG00000042111,704,504,294,369,546,324,422
ENSMUSG00000101711,2,0,1,4,1,2,2
ENSMUSG00000026127,1713,1218,913,957,1190,1142,1249
ENSMUSG00000026126,562,428,297,357,581,418,449
ENSMUSG00000100280,62,65,50,37,60,77,42
ENSMUSG00000101223,2,5,0,0,1,0,1
ENSMUSG00000026125,0,0,0,0,1,0,0
ENSMUSG00000101116,0,0,0,0,0,0,0
ENSMUSG00000026124,1,1,0,0,0,0,0
ENSMUSG00000101803,0,0,0,0,0,0,0
ENSMUSG00000037529,0,0,0,0,0,0,0
ENSMUSG00000045815,0,0,0,0,0,0,0
ENSMUSG00000045174,0,0,0,0,1,0,0
ENSMUSG00000100524,0,0,0,0,0,0,0
ENSMUSG00000102499,0,0,0,0,0,0,0
ENSMUSG00000103521,0,0,0,0,0,0,0
ENSMUSG00000104098,0,0,0,0,0,0,0
ENSMUSG00000037509,212,167,52,56,176,36,162
ENSMUSG00000102537,0,0,0,0,0,0,0
ENSMUSG00000102612,0,0,0,0,0,0,0
ENSMUSG00000104002,38,45,6,13,50,14,24
ENSMUSG00000037503,5150,3762,2393,2131,3736,2598,3707
ENSMUSG00000104358,21,16,7,6,13,10,9
ENSMUSG00000026123,3890,3647,5463,4809,3807,6237,3733
ENSMUSG00000103716,0,0,0,0,0,0,0
ENSMUSG00000103548,2,3,2,3,1,2,0
ENSMUSG00000103760,0,0,0,0,1,1,0
ENSMUSG00000103997,0,0,0,0,0,0,0
ENSMUSG00000077231,0,0,0,0,0,0,0
ENSMUSG00000104417,0,2,0,0,2,0,0
ENSMUSG00000064601,0,0,0,0,0,0,0
ENSMUSG00000101714,0,0,0,0,0,0,0
