"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: parasitic","mmu05140","Leishmaniasis","52/4646","70/9575",0.742857142857143,1.53096365537175,4.32857213275137,9.44405195046033e-06,4.93666351955881e-05,1.64178893556647e-05,"20846/19225/17970/246256/14131/16401/16176/13058/13712/16179/24088/14129/18033/21898/16476/16451/17357/17969/15170/21803/18036/18751/16409/15979/16414/13057/16412/17874/18126/18035/14281/21809/17972/66513/19094/266632/15980/26416/26415/15001/14998/15000/14999/15002/14961/14960/14969/381091/100504404/21926/12266/19697",52
"Cellular Processes","Cell growth and death","mmu04110","Cell cycle","103/4646","157/9575",0.656050955414013,1.35206368878372,4.31815893884372,1.01007168347563e-05,5.20111538506107e-05,1.72973783973046e-05,"17215/17219/226849/99152/11350/12236/76464/12235/12531/18538/13555/19650/22589/12428/12448/12578/12579/18392/12580/107995/433759/55948/242705/71890/12571/27214/22629/52206/71521/12545/50883/22628/17220/17120/100710/56150/13197/17216/12444/21803/12447/77011/75430/18817/12237/12577/12443/67141/15182/12534/17873/56371/12567/12566/21781/69957/17218/56452/19651/67177/71988/19645/12581/12649/17127/12442/22137/20842/69010/12530/30939/21402/20877/22059/23834/217232/13557/23882/218294/69716/268697/22630/21809/26931/27401/105837/17869/56438/140557/105988/17217/12544/268930/12575/12445/72415/320209/67052/12532/17126/67849/225849/13006",103
"Organismal Systems","Aging","mmu04211","Longevity regulating pathway","64/4646","90/9575",0.711111111111111,1.46553785813364,4.30788892092299,1.05995036964917e-05,5.37768937542593e-05,1.78846115002723e-05,"12912/16367/72674/23797/77683/64930/51897/12359/56458/78284/108097/18176/18033/12913/108079/18710/230784/56717/18707/19744/19017/22241/19079/207565/16591/208647/231991/19016/68465/16653/12028/15461/16334/140742/56484/11793/93759/20869/208677/16000/16337/13685/18747/11513/72993/104110/75747/74769/432530/22059/74370/18708/104111/11651/105787/11512/11515/224129/20656/22084/110147/12326/58988/19697",64
"Organismal Systems","Endocrine system","mmu04920","Adipocytokine signaling pathway","53/4646","72/9575",0.736111111111111,1.51706067345865,4.27547426158583,1.21672982904941e-05,6.08364914524707e-05,2.02324258377401e-05,"74205/16367/72674/20183/23797/18761/22030/20181/18534/16151/50790/108097/18033/16847/108079/20525/21938/56717/12491/19017/26414/100705/19079/207565/109648/68465/21937/18036/78070/20869/14081/71609/72993/74551/94180/26420/20528/20848/14377/68401/12702/18035/11651/105787/19013/12895/20182/21926/18037/78625/12894/19697/12675",53
"Organismal Systems","Excretory system","mmu04966","Collecting duct acid secretion","24/4646","27/9575",0.888888888888889,1.83192232266705,4.20257390817843,1.26759000257795e-05,6.18680777962888e-05,2.05755010825186e-05,"338375/12349/242341/66290/56365/21871/66144/140494/76252/110935/11973/11944/11966/11972/11975/20533/20499/68775/73834/66335/11964/11984/11974/27060",24
"Human Diseases","Infectious disease: bacterial","mmu05133","Pertussis","56/4646","77/9575",0.727272727272727,1.49884553672759,4.26679989804897,1.27322710827145e-05,6.18680777962888e-05,2.05755010825186e-05,"17087/12269/15139/12258/16176/16179/18033/21898/16476/12260/12262/12259/14677/16193/20311/26414/107607/50909/50908/667277/317677/66824/16409/16414/83430/12367/15900/16412/12362/117149/75600/14678/11848/17874/26420/16362/216799/18126/70405/14281/12313/19094/266632/16402/26416/26415/12268/21926/106759/12266/12314/12475/225471/12631/19697/12369",56
"Organismal Systems","Endocrine system","mmu04928","Parathyroid hormone synthesis, secretion and action","79/4646","116/9575",0.681034482758621,1.40355255540547,4.24534890687462,1.41698004164861e-05,6.7896960328996e-05,2.25805299034647e-05,"12912/20183/142681/20181/18227/53416/18796/18795/17391/16658/13081/11836/213498/12095/78284/12913/18578/14677/20531/23948/14673/16591/208647/194352/231991/16438/232341/16974/16439/19227/16801/17258/109689/18751/20393/208677/14672/13115/14182/16478/110385/18747/11513/20497/17388/17387/104110/21943/18577/14531/14678/11848/19228/432530/216869/18806/69847/74499/18750/26941/20505/17260/238871/104111/14281/22337/11512/20683/11515/224129/12374/240047/16440/12575/20182/12393/13653/16973/18797",79
"Organismal Systems","Development and regeneration","mmu04360","Axon guidance","116/4646","181/9575",0.640883977900553,1.32080587352514,4.23022264516728,1.49453972848916e-05,7.06323570313369e-05,2.34902423079046e-05,"20353/17974/53972/12767/14270/18845/171171/11350/214230/214968/98932/20779/58220/18019/12162/18846/13641/18481/22065/22066/20351/13639/20360/18176/269473/108058/13841/18710/22417/12540/13836/18707/18762/108151/20346/20348/14677/20423/65254/20563/231637/16885/13846/13848/13835/20355/18844/259302/20315/22419/16653/20130/244058/14159/18479/16202/15461/14360/107449/13637/57764/54712/117600/13642/56513/93742/18186/16412/22418/218877/73181/14365/12934/19057/22068/19649/20361/18007/22063/74769/17973/20347/14678/11848/235611/16886/18208/237860/18750/170758/20354/107448/218397/18708/19878/20356/19354/223881/13845/224105/117606/13837/19876/18607/20359/13640/67268/20358/319713/93737/245857/11854/12631/20562/26456/226251",116
"Organismal Systems","Immune system","mmu04666","Fc gamma R-mediated phagocytosis","66/4646","94/9575",0.702127659574468,1.44702374955349,4.22838336662575,1.53068179338553e-05,7.13628673943256e-05,2.37331885460915e-05,"76709/16331/74117/19264/18783/67771/14130/246256/14131/23797/227753/74192/15162/22376/18720/14129/57257/17096/18710/17357/242687/230837/12540/18707/242894/56378/17969/16885/56443/11867/245880/68089/232889/22323/56632/14389/18479/16332/18751/16797/17118/83767/18717/18753/13430/74769/16886/66713/18806/18750/20698/218038/20963/18708/19012/20259/11651/13196/19354/53357/22324/18754/30948/58988/12631/18719",66
"Cellular Processes","Transport and catabolism","mmu04144","Endocytosis","165/4646","270/9575",0.611111111111111,1.2594465968336,4.19834937943647,1.68299406455181e-05,7.74177269693834e-05,2.57468565664769e-05,"12765/76709/74117/12767/67771/16184/215632/72543/74192/56324/215280/98878/84092/69178/75608/20779/99371/58220/16186/67028/245666/58194/66371/18759/18720/12340/54673/107568/76959/12757/21812/72685/230597/69780/230837/12540/12345/18762/140500/242894/14184/212285/18595/320129/26431/56433/56378/330192/194309/19159/75788/56443/11867/73178/11844/330319/19349/232227/78287/12391/68089/243621/13854/259300/19158/109689/69710/14276/14275/14183/15461/11772/54198/30930/70432/18717/216238/216439/67588/19344/75767/234353/73711/17274/56513/116733/234852/19341/93742/105513/13430/16835/15481/12402/18854/17127/56440/17999/11848/18571/21813/12774/66713/216724/216859/216869/18806/216963/268451/71770/27681/19345/11841/66313/208092/218038/74325/14186/26385/72183/13132/13196/16185/72318/66251/78618/22042/208650/68942/16004/215445/19326/14972/15511/193740/14964/15006/15013/15015/110557/15018/110558/15007/15042/15040/15039/15024/14991/14990/271457/20405/106572/57440/30948/74002/83814/17126/93737/110355/13660/107305/18719/107338/73728/14773",165
