"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol"
"ENSMUSG00000089769",13.0098642100965,1.05475759371462,0.634199833383956,0.0145490213163379,0.0309966461966128,"Gm16574"
"ENSMUSG00000064637",10.4785306425667,1.84729211725371,0.809023715542505,0.00151569755695799,0.00395323942976756,NA
"ENSMUSG00000062480",334.559317329212,1.49582241234325,0.178576644336363,6.65650790221575e-18,5.95618780000347e-17,"Acat3"
"ENSMUSG00000023886",1450.77985211037,2.08619490309476,0.279063162863455,8.28752740812343e-15,6.07063421230006e-14,"Smoc2"
"ENSMUSG00000023885",1616.73616929935,4.03660259213979,0.183329118935498,1.38706912108084e-108,4.69375784094235e-106,"Thbs2"
"ENSMUSG00000080316",1136.30676443074,1.0951111771101,0.144145849370303,6.13572453870369e-15,4.52709850833856e-14,"Spaca6"
"ENSMUSG00000045551",13.9594885272118,3.40629268006572,1.15650542892158,7.24259947407351e-05,0.000228469137925086,"Fpr1"
"ENSMUSG00000052270",26.7317356989992,3.64000856447227,0.696171900924361,1.14381271820167e-08,5.32428371161235e-08,"Fpr2"
"ENSMUSG00000078546",101.188567271174,1.44465631073613,0.22052927474403,7.35740026719665e-12,4.39358763549653e-11,"Zfp995"
"ENSMUSG00000099397",68.1212501628394,2.36076331691583,0.296001515245543,2.00776729921525e-16,1.63954204243779e-15,NA
"ENSMUSG00000023903",22.6001248675378,3.9422082354083,0.93695572900312,7.74675536326026e-07,3.04712987465753e-06,"Mmp25"
"ENSMUSG00000023905",1398.05110338254,2.00845145669446,0.200171511103458,1.16160833813119e-24,1.48757801742099e-23,"Tnfrsf12a"
"ENSMUSG00000023906",352.10437978897,3.02967755071268,0.280272394970581,5.10288390450143e-28,7.65398315131867e-27,"Cldn6"
"ENSMUSG00000023908",129.965740198903,2.69492816328572,0.240320573541963,6.05334770138047e-30,9.93353913024478e-29,"Pkmyt1"
"ENSMUSG00000023909",190.501153081661,1.76914010262862,0.172334181324051,9.92145480762961e-26,1.33565865987703e-24,"Paqr4"
"ENSMUSG00000086719",8.86885207272237,1.79702017456899,0.849346826151112,0.00238237878952619,0.00599594860100045,NA
"ENSMUSG00000024124",8.23114982119686,1.50489298466083,0.912888943929626,0.00912839032568617,0.0203771583742004,"Prss30"
"ENSMUSG00000045027",63.5408193510035,3.15714741420227,0.543882444104383,7.14583213214622e-10,3.67476432971112e-09,"Prss22"
"ENSMUSG00000050762",17.2989709263256,4.24089729199376,1.20774796083228,4.50237586898766e-06,1.63798766343004e-05,"Prss27"
"ENSMUSG00000072082",113.318711347383,2.89115431717493,0.26056393685627,2.2723050629921e-29,3.62497580549039e-28,"Ccnf"
"ENSMUSG00000024176",58.0020779971864,2.74366994590084,0.363605327479077,6.69364682995902e-15,4.92573009226704e-14,"Sox8"
"ENSMUSG00000091475",13.9346717025471,2.10821660892677,0.683726706431304,0.000140415263082629,0.000425860196318228,"Cerox1"
"ENSMUSG00000019214",65.5707595036103,2.25567725343875,0.289767933232642,8.55332880548937e-16,6.67237322884386e-15,"Chtf18"
"ENSMUSG00000063011",49.3673854426287,3.85160141042519,0.675885413264535,7.0590755246081e-10,3.6334960305738e-09,"Msln"
"ENSMUSG00000073433",72.9094067820987,1.73567426932493,0.391259693011438,8.74486171714567e-07,3.41805638065683e-06,"Arhgdig"
"ENSMUSG00000067629",1057.61870626011,1.1595953568832,0.115647189877525,2.32829251205444e-24,2.9495226865697e-23,"Syngap1"
"ENSMUSG00000057789",942.341709580005,1.60947282801683,0.108267338605244,5.81472138484961e-51,2.46425023546928e-49,"Bak1"
"ENSMUSG00000042644",1145.0273518937,1.23875188977821,0.17999909139521,1.00448713547668e-12,6.37698001243213e-12,"Itpr3"
"ENSMUSG00000073430",2.93695330833319,2.06699099165338,1.48175696955693,0.00612267478989274,0.0141909317930121,"Gm10505"
"ENSMUSG00000040276",74.1330674707523,1.43650080569013,0.327809374379627,1.37256168043654e-06,5.26624163732514e-06,"Pacsin1"
"ENSMUSG00000024215",8.71471766579939,1.5837827799721,0.921496767520884,0.00722377704020325,0.0164931339619607,"Spdef"
"ENSMUSG00000037446",12.5693477109841,2.44469303441776,0.814417876529372,0.000154362135449203,0.000465818664115998,"Tulp1"
"ENSMUSG00000004864",554.751268649938,1.01517428051693,0.1689481604622,3.67736565634571e-10,1.9393219496771e-09,"Mapk13"
"ENSMUSG00000048905",116.048617906421,2.89346163655583,0.387773562905971,1.25694491113912e-14,9.09087035148353e-14,"Bnip5"
"ENSMUSG00000023067",691.385164668538,1.80397742632827,0.223892113337915,7.70373021776753e-17,6.44401163609064e-16,"Cdkn1a"
"ENSMUSG00000064147",23.0538281180902,3.89075908824816,0.763518222622958,1.65716424624391e-08,7.60762718923154e-08,"Rab44"
"ENSMUSG00000024013",442.057110249564,2.63427895449676,0.158425767757713,8.07812844057955e-63,5.3855797191613e-61,"Fgd2"
"ENSMUSG00000024014",424.4197209007,1.31489301202489,0.140487701865037,1.28262807459286e-21,1.41323213704771e-20,"Pim1"
"ENSMUSG00000043557",105.035791186424,4.13574410222661,0.400517989146346,3.05401176787799e-26,4.23166495767218e-25,"Mdga1"
"ENSMUSG00000033826",15.4565817195024,2.47981044681503,0.794040191504121,0.000106466164555879,0.000328291497886375,"Dnah8"
"ENSMUSG00000024030",448.176595629544,1.68981321329949,0.138947810755847,5.01014834532931e-35,1.03800234828001e-33,"Abcg1"
"ENSMUSG00000042345",9.38212522300167,2.96078405987578,1.14242472320797,0.000278661897913386,0.000812909460292263,"Ubash3a"
"ENSMUSG00000052142",192.560575436072,2.87440471226455,0.204797111328178,1.71905547739291e-45,5.77344135820952e-44,"Rasal3"
"ENSMUSG00000079563",159.554404235368,5.68031416710741,0.522868596676903,4.03388904384372e-30,6.69835523458779e-29,"Pglyrp2"
"ENSMUSG00000048440",316.31123227499,1.39927912837756,0.152815822771239,7.50228287760406e-21,7.92976742964548e-20,"Cyp4f16"
"ENSMUSG00000024299",1151.45789166451,1.40166939606487,0.205477568933347,1.23060548708554e-12,7.75298813781905e-12,"Adamts10"
"ENSMUSG00000024300",426.156060020745,3.66552104400332,0.210936099414353,1.33853326839378e-68,1.12386473745514e-66,"Myo1f"
"ENSMUSG00000002289",3173.91477888628,2.22416204251424,0.264357616811008,4.87121400139632e-18,4.39748154839068e-17,"Angptl4"
"ENSMUSG00000079553",68.8638611414161,1.87023736944258,0.297981604639316,3.40143918155586e-11,1.92958452326311e-10,"Kifc1"
"ENSMUSG00000092349",3.79060395604685,2.82765411407068,1.40333155469979,0.000893721242044584,0.00241797337611432,"Smim40"
"ENSMUSG00000067203",303.802645520124,2.45616035378181,0.311719213230731,4.57925370262545e-16,3.66438739499952e-15,NA
"ENSMUSG00000061232",12211.3640062424,2.10774038748978,0.193026149177147,1.09127335215968e-28,1.68202201843577e-27,"H2-K1"
"ENSMUSG00000024334",29.1735533598004,1.70436147171073,0.575683519251304,0.000247347858354706,0.00072668601269324,"H2-Oa"
"ENSMUSG00000037649",1009.6586711837,2.81608749996833,0.203735818381331,3.41511856942025e-44,1.07882967651247e-42,"H2-DMa"
"ENSMUSG00000037548",812.322216771045,2.90706361951177,0.510452836385372,1.46401220799665e-09,7.35927271064532e-09,"H2-DMb2"
"ENSMUSG00000079547",651.687069323311,2.03546503511155,0.466422081332119,1.14636185371224e-06,4.43032456148283e-06,"H2-DMb1"
"ENSMUSG00000096727",347.795281451078,1.81459770416612,0.174636590071482,2.6953058862998e-26,3.74359214332213e-25,"Psmb9"
"ENSMUSG00000037321",834.801746387671,2.19947893291866,0.153208848036625,1.29778495989753e-47,4.7206399502201e-46,"Tap1"
"ENSMUSG00000024338",856.125787503904,2.7188209168967,0.212425895922356,2.98789988519023e-38,7.19092198662055e-37,"Psmb8"
"ENSMUSG00000092550",6.92452068117612,1.50200308769713,0.936104791722786,0.0100727297238356,0.0222538674104406,NA
"ENSMUSG00000024339",1324.92997619184,1.34321711430079,0.169798325633709,3.86432810545558e-16,3.105646056396e-15,"Tap2"
"ENSMUSG00000081512",38.9790375791174,1.87611326048194,0.428881856298837,1.11012927904282e-06,4.2955002283684e-06,NA
"ENSMUSG00000041538",103.484605442009,2.63320995512561,0.338774645366848,1.13987231733012e-15,8.83955150529542e-15,"H2-Ob"
"ENSMUSG00000073421",11522.262222816,3.40822473233517,0.200147569405663,6.99401553656922e-66,5.38635665495645e-64,"H2-Ab1"
"ENSMUSG00000036594",13695.1232208452,3.4526065876805,0.197254033935917,1.80822113580115e-69,1.56530274600709e-67,"H2-Aa"
"ENSMUSG00000092415",2.94054230940848,2.0749434498581,1.47670606888548,0.00600697250756272,0.0139430184975999,NA
"ENSMUSG00000060586",3884.581752178,1.49842479300523,1.12885453340283,0.0173537985872155,0.0363174416835524,"H2-Eb1"
"ENSMUSG00000067341",9.44634027883138,4.0328650192949,1.31748553779262,1.9362075576454e-05,6.57192395022072e-05,"H2-Eb2"
"ENSMUSG00000036322",115.836318877867,2.4868609654137,1.12532224137792,0.00104552385299601,0.00280152726248505,"H2-Ea"
"ENSMUSG00000024340",59.9689349415046,4.92208563182207,0.750855220126519,5.8043044958573e-13,3.74771137931416e-12,"Btnl2"
"ENSMUSG00000057246",33.8442323289799,1.31609532038103,0.407476769748116,0.000138851664226246,0.000421404140349094,"Tsbp1"
"ENSMUSG00000034786",226.893486460932,1.75343359370427,0.225306633046258,7.09118787722722e-16,5.56676942179236e-15,"Gpsm3"
"ENSMUSG00000073418",753.360146934166,3.70848068505644,0.291465987403196,4.42172203888847e-38,1.05507200872366e-36,"C4b"
"ENSMUSG00000092203",475.902299712856,1.18798956095754,0.134064983317635,1.50787799919703e-19,1.49741872983843e-18,"1110038B12Rik"
"ENSMUSG00000007030",62.944346991346,1.31950340996967,0.341657271927693,1.37644115477507e-05,4.76094730536572e-05,"Vwa7"
"ENSMUSG00000007041",4537.90878998628,1.36397787832248,0.0775275828750877,4.1602952824255e-70,3.70183405727853e-68,"Clic1"
"ENSMUSG00000007039",954.516976893875,1.62110208284482,0.119583812271267,7.63678670707379e-43,2.2711051173873e-41,"Ddah2"
"ENSMUSG00000043807",18.4362722018021,2.10234329193446,0.548119558168804,1.02971628488919e-05,3.61087823939632e-05,"Ly6g5b"
"ENSMUSG00000024397",318.32183791687,3.71374089325053,0.200109713311839,7.27213104983287e-78,8.87517895447908e-76,"Aif1"
"ENSMUSG00000086076",6.15217539939398,1.3924778570728,1.03970867324347,0.0195439425933273,0.0403974469115569,"Ncr3-ps"
"ENSMUSG00000073412",135.127516918624,3.06889892674899,0.244904923608561,8.45221227791451e-37,1.89720310567782e-35,"Lst1"
"ENSMUSG00000024399",152.948164935526,3.40034280791193,0.257072856998471,8.31714471549337e-41,2.23263353456525e-39,"Ltb"
"ENSMUSG00000024401",71.2976172413136,4.43847237157361,0.481589392716089,1.04542467391593e-21,1.15643955756505e-20,"Tnf"
"ENSMUSG00000024402",20.5927070712572,1.0428414377278,0.543836784917268,0.00806130899454795,0.0182191130423228,"Lta"
"ENSMUSG00000073411",16558.5134373713,1.45539312754509,0.456719129292156,0.000141902213165705,0.000429844571930402,"H2-D1"
"ENSMUSG00000079507",201.773800460241,1.12859517215511,0.43517249575131,0.00121173899199575,0.00321642246817602,"H2-Q1"
"ENSMUSG00000091705",254.553299172317,1.16434419826176,0.281406355321688,5.1800501612501e-06,1.87021080344907e-05,"H2-Q2"
"ENSMUSG00000035929",1756.05907543605,1.43607433919843,0.182058542710869,4.05137761729265e-16,3.24895754774198e-15,"H2-Q4"
"ENSMUSG00000073409",620.449381676707,2.19288168519494,0.294256794850901,1.05854849400632e-14,7.69333617479246e-14,"H2-Q6"
"ENSMUSG00000060550",319.618628388133,3.34408852744896,0.347125991946836,7.68658863608454e-23,8.99749845903103e-22,"H2-Q7"
"ENSMUSG00000067235",161.084579050723,1.63020770938579,0.330693087111782,8.54136928804381e-08,3.6664028767859e-07,"H2-Q10"
"ENSMUSG00000050410",330.088758272245,1.86281668372751,0.174589635520004,1.40488793981813e-27,2.07244169404875e-26,"Tcf19"
"ENSMUSG00000059714",2034.01022900783,1.13085662955849,0.102174602183059,3.76568961232639e-29,5.93527959080434e-28,"Flot1"
"ENSMUSG00000001525",6693.57232247366,2.34309317130331,0.110186746901529,3.8313577381963e-101,1.0564141200602e-98,"Tubb5"
"ENSMUSG00000059791",177.535821704923,1.7347610536094,0.238670890745467,3.65179110300316e-14,2.5671735125739e-13,"Nrm"
"ENSMUSG00000034595",808.092536258721,2.23363221763396,0.163779562996562,3.25136394466587e-43,9.85291212213941e-42,"Ppp1r18"
"ENSMUSG00000036492",32.7910629280131,1.63070580401371,0.459913194097388,3.58484545113596e-05,0.000117654575026702,"Rnf39"
"ENSMUSG00000036036",263.515348312135,2.30640754348168,0.211745673283992,1.75706819195756e-28,2.68415601909577e-27,"Zfp57"
"ENSMUSG00000035186",452.138724186572,6.10687059186795,0.417746557508305,1.73800716402966e-51,7.46474076950739e-50,"Ubd"
"ENSMUSG00000016206",159.780899712933,1.85305637181965,0.24177191688017,1.77543888391712e-15,1.3584327520865e-14,"H2-M3"
"ENSMUSG00000061972",4.34794256437659,2.20919306456793,1.35011677546247,0.00392615133022771,0.00948579227707764,"Or1o4"
"ENSMUSG00000016283",83.5276999755237,4.67441019456964,0.582995919840975,2.21245906130956e-17,1.91375138169201e-16,"H2-M2"
"ENSMUSG00000042256",8.45648057919412,1.43105176473534,0.820367638606578,0.00792561178407463,0.0179451149214845,"Ptchd4"
"ENSMUSG00000023918",8.27122673641481,1.24759142820837,0.902483562701946,0.0214487700469243,0.0438471531012435,"Adgrf4"
"ENSMUSG00000061665",5143.65374411679,1.13980588993353,0.118646072759076,1.52709157652353e-22,1.76167682180147e-21,"Cd2ap"
"ENSMUSG00000023913",657.02727329912,1.19113283782864,0.170443490355342,5.02740458976671e-13,3.25927588121479e-12,"Pla2g7"
"ENSMUSG00000090307",10.97576603982,1.60593978777779,0.727219126406065,0.00219671644772642,0.00556694260110313,"1700071M16Rik"
"ENSMUSG00000039153",145.991701972765,2.32848132145535,0.211646851563048,5.36431698916152e-29,8.41338873847846e-28,"Runx2"
"ENSMUSG00000023947",699.97528116207,2.66283810534239,0.128027382013786,8.38941972347937e-97,1.8926191929716e-94,"Nfkbie"
"ENSMUSG00000023972",823.290991215447,2.10281864662186,0.128819289286454,8.13967123407505e-61,4.98058677648855e-59,"Ptk7"
"ENSMUSG00000023982",15.9535790484861,1.36321168760717,0.687988848428952,0.00481285102871687,0.0114278348793709,"Guca1a"
"ENSMUSG00000032717",92.9138276147055,2.91227034290467,0.340104537331923,1.73491905679611e-18,1.61448675893685e-17,"Mdfi"
"ENSMUSG00000023991",1512.17790507182,1.24800247589827,0.126340047783293,9.22802493118836e-24,1.13678272925075e-22,"Foxp4"
"ENSMUSG00000073386",26.8352964329592,3.56197090149645,0.899806888158223,3.19109001201207e-06,1.180354493678e-05,"9830107B12Rik"
"ENSMUSG00000043939",44.774903274294,5.16316094980981,1.02603753426507,1.98752244309018e-09,9.86868080123966e-09,"A530064D06Rik"
"ENSMUSG00000042265",10.2812921227384,3.1120396020969,1.11896801915319,0.000154097655528894,0.000465083383592206,"Trem1"
"ENSMUSG00000051682",16.3573882584617,1.31384980175034,0.717909889292354,0.00729957639357096,0.0166508772519675,"Treml4"
"ENSMUSG00000071068",25.192628177549,4.18922444669133,0.883641780423584,5.70058175668245e-08,2.4900604919567e-07,"Treml2"
"ENSMUSG00000043740",55.6687585094691,5.10363390041462,0.759220563709049,1.27704371650256e-13,8.60896298350989e-13,"Trem6l"
"ENSMUSG00000023992",156.643329608506,3.90210003782357,0.286511165051066,2.51284398613649e-43,7.64602964391995e-42,"Trem2"
"ENSMUSG00000023993",1.93782939812552,1.52235894867131,1.38961280867092,0.0209723081689244,0.0429996815059907,"Treml1"
"ENSMUSG00000043592",21.2784125373376,2.6716244858384,0.63870229896528,2.43958085232046e-06,9.13421605292962e-06,"Unc5cl"
"ENSMUSG00000023999",19.4533525369538,1.44986621555561,0.725077510484734,0.00423828820783754,0.010180461264126,"Kif6"
