"Cluster","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Up","GO:1901990","regulation of mitotic cell cycle phase transition","86/3006","354/28928",0.242937853107345,2.33789295232511,8.62480747814332,3.8918055140298e-14,7.32160834894012e-13,3.62037187146266e-13,"12021/381293/66977/18214/108000/76843/59126/12236/76464/12235/12531/13555/72776/229841/16600/12578/12579/18392/20460/107995/52276/269582/108911/14726/12571/27214/12545/208628/11461/14056/93695/56150/12444/381979/21803/12447/77011/12144/18817/67141/237256/12534/52679/12567/219114/72400/67629/235041/12649/68014/22137/235559/70385/118454/20877/22059/75604/14841/237877/20293/20555/23834/12189/11799/16323/21752/69716/268697/20135/59036/12192/56696/22410/11504/268930/12575/11629/24108/67052/12532/16906/70799/66468/67849/16319/16952",86
"Up","GO:0043123","positive regulation of canonical NF-kappaB signal transduction","57/3006","188/28928",0.303191489361702,2.9177389901049,8.98332213897655,4.17885621440787e-14,7.83759179295518e-13,3.87551416504396e-13,"15559/56489/67313/14103/22030/332579/16176/21939/192176/245527/13607/170744/170743/20198/71481/211550/192656/326623/21898/231130/21899/108723/78781/56620/17474/12504/56644/21803/94094/434218/244183/434219/20128/16202/18751/73914/13617/20312/21943/12362/81897/17874/13051/13614/212937/14063/14062/56722/16994/21926/16992/14251/24108/76589/50930/225471/16149",57
"Up","GO:0071214","cellular response to abiotic stimulus","93/3006","398/28928",0.233668341708543,2.24868855254316,8.54194386973203,4.46128643388146e-14,8.31643455896504e-13,4.11229122252839e-13,"12021/19225/98660/102639543/545384/236312/226691/100040462/15950/110876/20272/171543/19361/12335/16176/17395/21939/21857/170744/170743/14173/64378/18033/60599/21898/19204/19092/50883/74096/11461/11677/26903/19362/12444/56449/170770/19698/21803/17136/18971/12144/74041/12798/17172/72267/93898/13617/17390/73181/52033/12362/17392/12649/17874/60530/16362/216799/76293/20877/22059/637515/11418/12842/12189/16416/20682/20708/20719/212937/16398/11852/12192/238377/12062/12925/19219/239364/18810/20289/19094/67760/12265/20583/107589/12018/26415/12575/21926/50930/13653/667742/77125/107765",93
"Up","GO:0104004","cellular response to environmental stimulus","93/3006","398/28928",0.233668341708543,2.24868855254316,8.54194386973203,4.46128643388146e-14,8.31643455896504e-13,4.11229122252839e-13,"12021/19225/98660/102639543/545384/236312/226691/100040462/15950/110876/20272/171543/19361/12335/16176/17395/21939/21857/170744/170743/14173/64378/18033/60599/21898/19204/19092/50883/74096/11461/11677/26903/19362/12444/56449/170770/19698/21803/17136/18971/12144/74041/12798/17172/72267/93898/13617/17390/73181/52033/12362/17392/12649/17874/60530/16362/216799/76293/20877/22059/637515/11418/12842/12189/16416/20682/20708/20719/212937/16398/11852/12192/238377/12062/12925/19219/239364/18810/20289/19094/67760/12265/20583/107589/12018/26415/12575/21926/50930/13653/667742/77125/107765",93
"Up","GO:0062207","regulation of pattern recognition receptor signaling pathway","56/3006","183/28928",0.306010928961749,2.94487164105305,8.98767303881485,4.5003661677759e-14,8.36386233544533e-13,4.13574319915865e-13,"226421/102639543/545384/236312/226691/100040462/15950/16803/71398/56496/12229/20201/20202/19260/229898/14469/17096/21898/100340/21897/21899/14581/231655/78781/20128/54123/21929/73914/234311/170737/16365/12363/214763/81897/72179/17874/68585/16362/16145/54396/20877/216869/80861/217303/246746/16364/14063/54483/14251/224840/83433/19280/12475/225471/65221/83490",56
"Up","GO:0045620","negative regulation of lymphocyte differentiation","31/3006","66/28928",0.46969696969697,4.52009113086957,9.74932608283479,4.65940717584711e-14,8.63327619621461e-13,4.26896233856433e-13,"12477/240873/15284/12505/20371/12578/230738/12399/14190/56744/14357/15507/14255/16950/16768/12515/21946/243910/16190/14728/12400/16362/57765/15223/14634/16852/12703/12394/57757/16149/16952",31
"Up","GO:0006953","acute-phase response","27/3006","51/28928",0.529411764705882,5.09475167312434,9.96663499303726,4.74055011518931e-14,8.75716682423375e-13,4.33022348822461e-13,"14268/21934/19225/16181/16176/16803/12801/18407/18406/16193/50765/19695/93671/20210/20208/20209/233222/15439/16427/21943/12774/20304/20848/15216/20701/20716/21926",27
"Up","GO:0002220","innate immune response activating cell surface receptor signaling pathway","37/3006","91/28928",0.406593406593407,3.9128190505436,9.47700471182462,4.8999906163584e-14,9.02451725229011e-13,4.4624223062205e-13,"226421/16803/24088/66166/19260/17096/192656/21898/231130/21897/21899/23961/23960/246730/66873/414084/56620/56644/243655/16643/27007/16641/503550/22177/233079/21929/170737/16365/17874/327957/20963/14063/18035/83433/12475/225471/83490",37
"Up","GO:1901987","regulation of cell cycle phase transition","105/3006","475/28928",0.221052631578947,2.12728227755016,8.43582156608566,5.04782815005734e-14,9.26896109110828e-13,4.58329432723454e-13,"12021/226419/381293/66977/18214/108000/76843/59126/12236/76464/19361/12235/12531/13555/71878/20878/19241/17349/72776/229841/17096/16600/12578/12579/18392/20460/107995/52276/269582/108911/14726/12571/27214/12545/50883/208628/11461/14056/93695/56150/211651/12444/381979/21803/12447/107503/77011/12144/18817/67141/237256/12534/12952/52679/12567/14632/21853/67177/219114/72400/56419/67629/235041/12649/68014/22137/235559/70385/118454/20877/22059/75604/14841/237877/20293/20555/268465/23834/12189/11799/16323/21752/69716/268697/20135/59036/12192/56696/22410/22061/209200/80285/11504/268930/12575/11629/24108/67052/12532/16906/70799/66468/67849/16319/16952",105
"Up","GO:0006887","exocytosis","93/3006","399/28928",0.233082706766917,2.24305274163453,8.5142159635276,5.23313577658165e-14,9.58054379635083e-13,4.73736501880023e-13,"18000/246256/14127/12523/16510/19215/20375/80976/15162/236643/20964/12229/99571/14161/110135/20194/54524/17096/22249/18124/242662/19204/14191/15552/11745/18439/56743/20907/12638/22421/12288/53420/381979/72310/76787/21990/14159/83671/18751/16190/16797/12721/13446/56216/434246/16409/55925/233979/74732/171580/16414/15368/12286/58994/15227/319508/17967/235442/12306/14678/24046/12768/12772/246177/56193/18806/13447/16859/20293/20307/20304/20302/15114/380732/217303/70450/20963/72293/14063/20969/104886/12652/17886/19354/105855/18951/68159/442827/17916/106572/80718/171180/16952",93
