"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol"
"ENSMUSG00000060424",221.925638064724,-1.56959259277986,0.16264724228217,5.46489424771367e-23,6.44418944711918e-22,NA
"ENSMUSG00000093436",25.3463084747915,-1.89106982659803,0.460708395532167,3.57946762278234e-06,1.31573123580021e-05,"Gm20646"
"ENSMUSG00000045515",4285.97912572997,-1.17134673461293,0.159719355624334,4.18803332247467e-14,2.92939355540712e-13,"Pou3f3"
"ENSMUSG00000045954",644.994006396878,-1.19233408979107,0.139388173600258,2.24072401886683e-18,2.07137128465943e-17,"Cavin2"
"ENSMUSG00000099413",98.6730250535934,-1.8965796678691,0.241114914648569,3.65443639691099e-16,2.94225603780137e-15,"Gm17767"
"ENSMUSG00000041426",984.996492321358,-1.43520965635364,0.12204472479942,8.37768177735864e-33,1.56575016582032e-31,"Hibch"
"ENSMUSG00000043629",34.4414137771312,-2.30130472401289,0.460658798578265,5.89836590903543e-08,2.57192706388905e-07,"1700019D03Rik"
"ENSMUSG00000025980",6445.99578545267,-1.29819433381387,0.102157629064562,8.96528177756739e-38,2.11660257103795e-36,"Hspd1"
"ENSMUSG00000073676",875.09895614432,-1.00533608849311,0.171040056179974,8.14207424257258e-10,4.16693597923043e-09,"Hspe1"
"ENSMUSG00000038331",601.932704171959,-1.27406798164133,0.156365091465273,6.20025024424548e-17,5.22749675179232e-16,"Satb2"
"ENSMUSG00000087022",92.6675375465061,-1.60738312481452,0.262401900177744,9.77020820358162e-11,5.37457709405891e-10,"9130024F11Rik"
"ENSMUSG00000064294",31.3650431459795,-2.10134608308279,0.563113682809015,1.53082091601816e-05,5.25909157642663e-05,"Aox3"
"ENSMUSG00000038174",753.340389481852,-1.00494865046302,0.205862665111167,1.90264653509757e-07,7.93385132839231e-07,"Hycc2"
"ENSMUSG00000026032",1761.59913243214,-1.21472332486726,0.161461873940206,9.56075405861149e-15,6.9689908989892e-14,"Ndufb3"
"ENSMUSG00000047528",37.6052450965793,-1.99886722647937,0.488735335434236,3.74597338804257e-06,1.3744466838926e-05,"Flacc1"
"ENSMUSG00000026028",3588.46252577918,-1.09072459874297,0.116700691917879,1.92858367856698e-21,2.10317323618725e-20,"Trak2"
"ENSMUSG00000100426",11.6096707874173,-3.68802590315461,0.820911682521225,3.44275279908938e-07,1.4000444467382e-06,NA
"ENSMUSG00000025968",4408.91587684061,-1.77464427492543,0.0935871538109416,3.40644939606856e-81,4.55566711447876e-79,"Ndufs1"
"ENSMUSG00000044816",665.248843224548,-1.73303583594347,0.476212445171684,2.40244700553309e-05,8.05045032581787e-05,"D630023F18Rik"
"ENSMUSG00000026003",5880.09344657049,-1.12181649100705,0.10915262672938,1.86664442668021e-25,2.48152598961165e-24,"Acadl"
"ENSMUSG00000099707",36.0372751807937,-1.78657819578119,0.507340745318707,3.62054780777616e-05,0.000118791412867449,"Gm8883"
"ENSMUSG00000101211",51.3242272137023,-2.05912748804447,0.439009034800393,2.53866502065748e-07,1.04417209155367e-06,NA
"ENSMUSG00000097131",245.134772589368,-1.43866815802104,0.202463374841444,1.56207603710887e-13,1.04672685906959e-12,NA
"ENSMUSG00000026189",4268.67194470702,-2.56412348460987,0.150990135036121,2.01213252554372e-65,1.50801905454676e-63,"Pecr"
"ENSMUSG00000026185",10109.6258735117,-1.03655963739264,0.139583308596197,2.33834510355979e-14,1.66267429299282e-13,"Igfbp5"
